Player,Year,Masters_Top_25,Driving_Rank,Top_10's,Percent_BreakPar_Ranklog,Avg_Score_Ranklog,Money_Ranklog,Average_Drive_Distance,Percent_Fairway_Hit,Percent_Greens_Hit,Percent_Par3_Bird,Percent_Par4_Bird,Percent_Par5_Bird,Avg_scoreB4cut
Scott Simpson,1983,1.0,0.8366556436442062,-0.4407545127764567,0.6263490457396315,-0.3247969996288288,0.21477249333948867,-1.4770459201857158,-0.025273684793215335,-0.215063937939783,-0.6522694355679153,-0.7258940067932845,-1.1225443289139627,-0.14039405259649052
Lyn Lott,1983,0.0,0.8752780912754681,-1.1362873669533464,0.9339139778083712,1.0882861275406386,1.2964403553323447,-1.4952157779449329,-1.093833580883719,-1.1491891912505448,-0.9934290538179649,-1.249798753650301,-1.526783095753738,2.212447802963654
Calvin Peete,1983,0.0,0.952522986537992,0.9503111955773227,-0.8254337093704374,-2.477685550070944,-0.5140800992473846,-1.5254988742102935,2.47409549060145,1.729281041563795,-0.848436216061694,0.721560774587321,-0.48675131699120916,-0.694003900963584
Morris Hatalsky,1983,0.0,0.9718342103536228,-1.1362873669533464,1.0746911670124586,1.03889839267829,1.3460503888341488,-1.537612112716437,-0.7816018949338696,-3.594708112839392,-1.1071489265679808,-1.6796693151740076,-1.8106659837933217,1.702088724000237
George Archer,1983,1.0,0.9718342103536228,-0.4407545127764567,1.0979396555629555,0.9158468633665824,0.7760056200132756,-1.537612112716437,-1.1150532100259418,-0.36200498902237527,-1.8776010644493424,-1.4009251229359794,-1.944104023332665,1.8923921093764242
Hale Irwin,1983,1.0,1.0490791056161466,0.254778341400433,-0.02022014183318146,-0.7864780295178896,0.2533539248769058,-1.5800084474879432,0.455199346498543,-0.020891834723502527,0.6384511201447709,0.076754932301761,-1.2062701576445312,0.08450994830263316
Bill Rogers,1983,0.0,1.1842576723255633,0.254778341400433,-0.6717905563250114,0.40462934374725157,-1.2648453666819637,-1.7435371673208904,1.0554117136642713,-0.018267887382740617,0.7948159451760437,0.10698020615889656,-0.9498598071571653,0.6381197966697266
Jim Simons,1983,0.0,1.280813791403718,-0.4407545127764567,-0.06458324043223587,-0.12468686444007974,0.6776432006057163,-1.822273217610829,1.266092317290626,0.8528826297497653,1.2013644902573524,-0.31953199160290563,-1.110770384248727,0.6640702583119351
Fred Couples,1984,1.0,-1.5579361094940316,3.036909758107992,-2.1817138983152846,-1.555566050608644,-3.0696743956442742,0.1279581818784025,-1.644028250785637,0.8345149983644431,0.8061879324510451,-0.17848071360293952,0.8371633498109029,-0.694003900963584
Tom Purtzer,1984,1.0,-1.5193136618627696,0.254778341400433,-0.36190731670765863,0.01552987127428658,-0.7791328333469079,-0.12036320749755679,-0.476948647963386,0.4750342126802445,-0.6636414228429172,-0.39341599436479285,0.2759386541013119,1.1052281062294667
Andy Bean,1984,1.0,-1.4806912142315078,1.6458440497542124,-2.5234010731897625,-0.6814224280810998,-1.8664550430027336,-0.19304263853442183,-0.07074431866940652,1.9339489341431193,0.22337358460721124,0.6308849530159132,0.49441073844513894,0.3094139492017691
Bernhard Langer,1984,0.0,-1.4613799904158769,0.9503111955773227,-3.1075191567476605,-1.126804900421005,-0.34825575144386456,-0.20515587704056543,-0.6072977984084685,-0.12322578101316473,-0.47316063598663965,0.7383525933968398,0.7848347068542979,-0.7199543626057925
Payne Stewart,1984,1.0,-1.4227575427846149,-1.1362873669533464,-0.2413156258125391,0.17214066995294788,0.642212187396863,-0.3020617850897211,0.08082446091789887,0.6377189478074007,-1.132735897936735,-0.598276183840934,0.17258958426201668,0.7246213354770923
Ronnie Black,1984,1.0,-1.345512647522091,-0.4407545127764567,0.06206021264669731,0.7174340985035957,0.826189497699011,-0.4777037434288119,-0.9771256206014933,-0.4354755145636714,-0.22013391911785293,-0.9374709237932334,-0.10213579126016101,2.0048441098259984
Fuzzy Zoeller,1984,0.0,-1.2875789760751983,0.254778341400433,-0.6262278785021258,0.1540894507937935,0.30818937630891824,-0.5261566974533898,-0.1404659572795682,-0.07074683419795268,-0.45610265507413705,0.11369693368270432,0.07839802694012739,1.8404911860920072
Mark McCumber,1984,0.0,-1.2103340808126744,0.254778341400433,0.8983515592027441,0.608014992712613,0.21477249333948867,-0.5867228899841112,-0.24050135180718923,-0.07074683419795268,-1.1071489265679808,-1.7233280440787588,-0.7405452353307442,1.9702434943030496
Jim Thorpe,1984,0.0,-1.2103340808126744,-0.4407545127764567,0.38391813705621075,-0.26259452210930023,0.3429115782929315,-0.5867228899841112,-1.0892865174960997,0.5038976334286105,1.1786205157073495,-1.3136076651264768,-1.032277419813819,-0.019291898266188427
Jack Nicklaus,1984,1.0,-1.1330891855501506,0.9503111955773227,0.31423347564484594,-0.7323076643933896,-0.7192512089995723,-0.6291192247556155,-0.10408945017861353,0.7190613153709788,-1.1071489265679808,-0.2657981714124423,-0.7837163657699443,0.6727204121926753
Tom Watson,1984,1.0,-1.0558442902876268,0.9503111955773227,-0.1358401117444926,0.30407428574755907,-1.5145359422840907,-0.6775721787801934,-1.469724154260236,-1.655611028017334,-0.9934290538179649,-0.18855580488865117,-0.25258063976040085,1.234980414440509
Hal Sutton,1984,0.0,-0.8820432759469483,0.9503111955773227,-0.42935964764159035,-0.4277031777653915,-0.034918082262638345,-0.7502516098170584,0.42033852719346215,1.2989536776790622,-0.5442355564553999,-0.1448970759839001,0.09409661982710862,-0.27879651468826083
Johnny Miller,1984,0.0,-0.8434208283156864,0.9503111955773227,-0.5830028006870167,-1.555566050608644,-0.1775231570261376,-0.774478086829349,0.43701109294806567,0.8660023664535673,-0.22013391911785293,0.7685778672539754,-0.8635175462787672,-0.3566478996148862
David Graham,1984,1.0,-0.8047983806844246,-1.1362873669533464,0.37043458120302936,0.5973224998334716,1.1483477641022717,-0.7805347060824191,-0.5209035940437045,-0.01564394004198244,-2.1334707781368794,-0.5781260012695101,-0.15969729851242645,1.1744293372753518
Bob Gilder,1984,0.0,-0.7854871568687936,-1.1362873669533464,0.8381327856652626,0.9304446111340756,1.1617009397377311,-0.7865913253354926,-0.8892157284408565,-1.6792265540841798,-1.5677144112055477,-0.4840918159361995,-1.5660295779711921,1.7972404166883305
Tommy Nakajima,1984,0.0,-0.7661759330531626,0.254778341400433,-0.26988460791305197,-0.8443871506684852,-0.06162601404042315,-0.7987045638416362,-0.07832275764877351,0.7820360515492311,0.5588472092197596,-0.8736620123170583,-0.05634822867313124,0.14506102546779034
Dan Pohl,1984,0.0,-0.7661759330531626,1.6458440497542124,-1.2559086398829094,-0.7864780295178896,-0.5610071652446775,-0.7987045638416362,-1.0377531324364153,1.1021576271220197,0.3712094191822325,-0.08444652826962899,0.2563154129925851,0.1710114871099988
Mark Hayes,1984,0.0,-0.7275534854219007,-0.4407545127764567,0.32863902750076857,0.8858669143067441,0.6891392533941559,-0.8047611830947098,-0.2162503470732209,-0.322645778910969,0.8829488465573061,-1.2128567522693579,-0.8726750587961731,2.1432465719177687
Larry Mize,1984,1.0,-0.6696198139750079,0.9503111955773227,0.0011152828708815778,-0.5040602797653695,-0.4272137326282646,-0.828987660106997,0.7219603985721992,1.0418068382845256,-1.715550245780569,0.012946020825585429,-0.3258407398996485,1.044677029064322
John Fought,1984,0.0,-0.6503085901593769,-0.4407545127764567,0.5420082886136707,0.5531360168748155,0.5666915940581316,-0.8350442793600705,0.2202677381382201,-0.07074683419795268,-0.45610265507413705,-0.17848071360293952,-1.5385570404189743,1.4771847231011133
Gil Morgan,1984,1.0,-0.6309973663437459,0.254778341400433,0.6655516612040501,-0.2931196802432277,-1.0711703097182153,-0.8411008986131405,0.37335220552139714,0.9998236808323575,-0.6380544514741635,-2.227082608364352,0.43292458297112796,0.4305161035320712
Jim Colbert,1984,0.0,-0.611686142528115,0.254778341400433,-0.7199581953023908,0.1167788932159895,0.15348073172570484,-0.8532141371192842,-0.6921763149773599,-0.9891284034641505,0.4906152855697497,0.09354675111128102,-0.3611625738953565,1.4771847231011133
Chip Beck,1984,0.0,-0.5730636948968532,0.254778341400433,0.4102547886792905,0.48216282903727026,0.01615189993761063,-0.8653273756254312,0.29756781572774443,-0.11272999165012082,-0.11778603364283832,-0.9576211063646572,-0.6908330245219699,1.6761382623580285
Craig Stadler,1984,0.0,-0.4571963520030674,2.341376903931102,-1.939282989631864,-2.477685550070944,-0.9129262659633205,-0.9077237103969356,0.41730715160171666,0.7321810520747809,0.6384511201447709,-0.11467180212676453,0.6644788280541056,0.1364108715870501
Peter Jacobsen,1984,1.0,-0.43788512818743647,-0.4407545127764567,0.10037154906193808,0.34865198257489066,0.4394486777920289,-0.9137803296500056,1.0084253919922064,0.5537526329030606,-0.11778603364283832,-0.5311089086028551,-0.6358879494175341,0.7073210277156241
Mark Lye,1984,1.0,-0.4185739043718055,-1.1362873669533464,0.8302936197178162,0.5064934989814543,0.9529890222330812,-0.9319501874092228,-2.0472012044878696,-0.8185718263147141,-1.5876153889368003,-1.4009251229359794,-0.5770182260913529,1.1484788756331434
